date,phone.number,transaction.amount
2022-05-01,5054328700,39
2022-05-01,8726240511,29
2022-05-01,5054182893,9
2022-05-01,6784575137,35
2022-05-01,9713086428,49
2022-05-01,5052022709,118
2022-05-01,8706003849,7
2022-05-01,5052467753,152
2022-05-01,7742261036,36
2022-05-01,4722869536,130
2022-05-01,5056440916,130
2022-05-01,5855386241,132
2022-05-01,9844391509,8
2022-05-01,8707033901,136
2022-05-01,9566996800,112
2022-05-01,5056440012,31
2022-05-01,4722376069,105
2022-05-01,7657049847,133
2022-05-01,9895023837,19
2022-05-01,9802872520,118
2022-05-01,5056461270,155
2022-05-01,9734697055,9
2022-05-01,9547452524,110
2022-05-01,5056449517,129
2022-05-01,7653733823,29
2022-05-01,4722855158,59
2022-05-01,7694501086,51
2022-05-01,5056339320,37
2022-05-01,7744633738,25
2022-05-01,9899204580,11
2022-05-01,8137592535,21
2022-05-01,4722616762,48
2022-05-01,9849202580,49
2022-05-01,7869982037,115
2022-05-01,5056440459,6
2022-05-01,4722909395,9
2022-05-01,5055974589,10
2022-05-01,2819635082,120
2022-05-01,6803809704,132
2022-05-01,5056469177,124
2022-05-01,9803592777,10
2022-05-02,9897004355,52
2022-05-02,5057413596,39
2022-05-02,5056982969,33
2022-05-02,4722520511,9
2022-05-02,8562932811,19
2022-05-02,5055445828,10
2022-05-02,5057610822,58
2022-05-02,5056716383,44
2022-05-02,5056504301,34
2022-05-02,9527231120,46
2022-05-02,4804532076,12
2022-05-02,5053656673,52
2022-05-02,7867795905,30
2022-05-02,9792673180,64
2022-05-02,9807560102,116
2022-05-02,5056467378,48
2022-05-02,5056006673,117
2022-05-02,9298582412,9
2022-05-02,7819079428,113
2022-05-02,5056447792,51
2022-05-02,9792673180,32
2022-05-02,9522969621,125
2022-05-02,9793195559,12
2022-05-02,8657820870,124
2022-05-02,5056449900,127
2022-05-02,9807210493,105
2022-05-02,4722520511,103
2022-05-02,9894093512,9
2022-05-02,5056631870,41
2022-05-02,6232102601,99
2022-05-02,7573680908,127
2022-05-02,5056694003,116
2022-05-03,4722028201,10
2022-05-03,5056440123,44
2022-05-03,8543590741,56
2022-05-03,9847275932,31
2022-05-03,5855386241,48
2022-05-03,5056444413,25
2022-05-03,9862674810,128
2022-05-03,9547452524,21
2022-05-03,4722863005,15
2022-05-03,5056440511,38
2022-05-03,5053806113,24
2022-05-03,7813263076,13
2022-05-03,7715121520,51
2022-05-03,4722855158,31
2022-05-03,4722581574,29
2022-05-03,8603750814,17
2022-05-03,8607079857,12
2022-05-03,9522738153,19
2022-05-03,5056447792,39
2022-05-03,5056464539,120
2022-05-03,9522738153,155
2022-05-03,8624723842,31
2022-05-03,5056791068,124
2022-05-03,9862484536,62
2022-05-03,7818635349,112
2022-05-03,3187054564,124
2022-05-03,8508977947,58
2022-05-03,9806549304,55
2022-05-03,5056461814,33
2022-05-03,9869684240,30
2022-05-04,8508977947,57
2022-05-04,9405171480,13
2022-05-04,5057260063,126
2022-05-04,5056461419,48
2022-05-04,9856846276,48
2022-05-04,8654546512,134
2022-05-04,4804532076,47
2022-05-04,8605967517,58
2022-05-04,5056449517,6
2022-05-04,7867795905,55
2022-05-04,8706679297,53
2022-05-04,6815446408,130
2022-05-04,4722520511,55
2022-05-04,5056791155,11
2022-05-04,5056046201,47
2022-05-04,5056573815,8
2022-05-04,8455912314,57
2022-05-04,5052615308,26
2022-05-04,8173344358,53
2022-05-04,9895922699,25
2022-05-04,5056563382,128
2022-05-04,9854191807,128
2022-05-04,5056440244,28
2022-05-04,7813263076,38
2022-05-04,5056462249,25
2022-05-04,5056445938,134
2022-05-04,5055386050,10
2022-05-04,5056442237,12
2022-05-04,7854954271,30
2022-05-04,9869684240,31
2022-05-04,4722999416,12
2022-05-04,5056179465,111
2022-05-04,8709176861,65
2022-05-04,9849202580,11
2022-05-04,8355761100,112
2022-05-04,4722521757,8
2022-05-04,5056444591,37
2022-05-04,7732000339,11
2022-05-04,5056448723,50
2022-05-04,7626912243,33
2022-05-04,5056442237,38
2022-05-05,2836865655,12
2022-05-05,5056133568,119
2022-05-05,7854309842,7
2022-05-05,5056462913,35
2022-05-05,5056099555,51
2022-05-05,4722133172,123
2022-05-05,8624376431,8
2022-05-05,5052467753,50
2022-05-05,5056522142,14
2022-05-05,5056899365,8
2022-05-05,4722419102,127
2022-05-05,8562932811,11
2022-05-05,9862674810,8
2022-05-05,5058001510,13
2022-05-05,5055568825,128
2022-05-05,7868218519,10
2022-05-05,6784575137,117
2022-05-05,5056573815,53
2022-05-05,7863391513,53
2022-05-05,9452435564,117
2022-05-05,9862394094,7
2022-05-05,9899104469,133
2022-05-05,6803809704,35
2022-05-05,5056444591,31
2022-05-05,8708179303,12
2022-05-05,5056467378,9
2022-05-05,7817901873,131
2022-05-05,5056117346,30
2022-05-05,9792673180,29
2022-05-06,6817436358,61
2022-05-06,7853678205,54
2022-05-06,9853485465,36
2022-05-06,5056598144,130
2022-05-06,8656921081,27
2022-05-06,8658102872,30
2022-05-06,8508977947,29
2022-05-06,7653733823,114
2022-05-06,5056461056,48
2022-05-06,5056464957,54
2022-05-06,8605349973,63
2022-05-06,3187054564,10
2022-05-06,8706003849,113
2022-05-06,4722520511,8
2022-05-06,5052773551,117
2022-05-06,4722376069,9
2022-05-06,5056617744,94
2022-05-06,7638992703,10
2022-05-06,4722188387,128
2022-05-06,9865799344,66
2022-05-06,8013925015,42
2022-05-06,4722180500,56
2022-05-06,5052229224,7
2022-05-06,5055568825,130
2022-05-06,8624347688,32
2022-05-06,4722204721,8
2022-05-06,5056445938,38
2022-05-06,5056466313,130
2022-05-06,4722508551,12
2022-05-06,7749708687,29
2022-05-06,9807634137,58
2022-05-06,5056696514,49
2022-05-06,5058235155,26
2022-05-06,9852344948,120
2022-05-06,5056024646,105
2022-05-07,9738351052,125
2022-05-07,7853678205,9
2022-05-07,5059321289,131
2022-05-07,9854191807,39
2022-05-07,6674729796,49
2022-05-07,5056460154,52
2022-05-07,6802531352,128
2022-05-07,9862484536,108
2022-05-07,5059025280,7
2022-05-07,9342339780,55
2022-05-07,5057559517,118
2022-05-07,9792673180,9
2022-05-07,8633925296,11
2022-05-07,4803463474,39
2022-05-07,5056180166,28
2022-05-07,4722744821,123
2022-05-07,5053806113,35
2022-05-07,9862527763,50
2022-05-07,7819655128,127
2022-05-07,4722740743,44
2022-05-07,4803463474,137
2022-05-07,5057543683,10
2022-05-07,8635569301,62
2022-05-07,8579966579,33
2022-05-07,5056982969,127
2022-05-07,5056387331,38
2022-05-07,8782434743,50
2022-05-07,5056460154,13
2022-05-07,4722268385,44
2022-05-07,5056227882,34
2022-05-07,4722336649,117
2022-05-07,5056440943,63
2022-05-07,8728771482,120
2022-05-07,8704661917,10
2022-05-07,7818450688,57
2022-05-07,5056615814,106
2022-05-07,5056462249,130
2022-05-07,5056449451,52
