Sales.Associate,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alicia,Hillsborough,60,77,70,61,64,58,62,56,67,65,79,67
Angela,Hillsborough,70,62,69,56,67,67,67,62,73,82,65,57
Anthony,Raleigh,23,32,39,35,22,27,24,32,28,28,29,33
Betty,Apex,56,58,41,62,60,50,61,55,57,48,53,59
Bobby,Raleigh,35,31,27,42,47,36,32,53,36,37,47,40
Carlos,Raleigh,27,41,29,28,29,35,27,27,43,29,29,21
Carlos,Wake Forest,68,70,57,61,63,73,76,70,72,76,76,64
Charles,Durham,47,45,47,47,63,71,52,49,48,53,42,58
Christopher,Wake Forest,62,70,64,52,50,54,65,64,71,71,66,63
Crystal,Durham,52,46,35,50,49,54,57,56,52,50,52,41
Daniel,Apex,56,57,72,53,57,60,50,58,51,56,67,62
Danielle,Apex,55,43,44,45,45,52,48,46,26,40,49,48
David,Apex,21,28,27,30,29,37,33,24,31,27,24,19
Debra,Cary,55,45,61,39,54,54,66,49,57,56,64,48
Denae,Hillsborough,79,69,60,60,70,65,52,64,60,57,84,60
Donald,Cary,49,59,49,58,55,74,51,28,56,54,53,57
Donald,Chapel Hill,49,36,35,40,43,56,47,42,38,41,50,48
Doris,Durham,28,31,41,27,33,31,20,40,29,28,33,35
Elizabeth,Durham,67,59,52,60,75,69,64,66,60,57,83,59
Gerald,Hillsborough,58,47,49,53,64,57,55,60,52,52,64,57
Glenda,Raleigh,36,40,26,45,43,36,37,48,34,44,48,54
Harold,Raleigh,53,47,39,56,59,62,56,49,60,57,50,55
Jasmine,Morrisville,78,79,81,68,68,68,71,95,60,74,85,79
John,Chapel Hill,67,68,56,65,60,69,72,72,74,79,72,74
Karen,Hillsborough,50,39,46,46,39,35,63,48,56,53,55,38
Kayla,Morrisville,22,23,18,29,30,28,30,26,28,27,26,24
Kenneth,Raleigh,43,33,63,55,50,54,55,48,38,50,46,52
Kurt,Durham,44,35,27,34,33,47,45,34,41,33,49,41
Megan,Hillsborough,101,91,84,76,77,66,60,85,80,77,77,75
Melissa,Morrisville,50,37,41,43,42,44,40,42,47,53,36,43
Michael,Raleigh,49,38,43,39,32,43,44,45,38,43,42,53
Mohamed,Durham,33,38,32,30,39,41,41,29,45,44,37,43
Pat,Durham,80,75,77,73,94,89,69,76,80,60,75,88
Rachel,Durham,33,37,35,37,29,25,19,32,25,38,29,34
Richard,Cary,22,33,35,26,39,28,34,35,33,29,33,31
Richard,Raleigh,31,37,36,30,34,36,39,33,30,44,37,31
Rita,Morrisville,27,34,38,38,26,40,30,47,31,40,41,34
Robert,Cary,73,66,52,61,57,57,64,68,61,54,64,59
Robert,Wake Forest,50,37,44,44,42,51,43,43,52,43,52,41
Roberto,Morrisville,63,58,63,62,70,57,67,65,70,59,70,71
Roger,Morrisville,64,61,65,75,70,84,57,64,73,61,68,49
Rosanne,Wake Forest,49,46,44,60,56,58,57,41,47,36,30,35
Roy,Hillsborough,38,35,43,39,32,43,38,41,35,48,32,49
Ruth,Raleigh,56,52,46,42,29,54,45,34,50,40,57,49
Stephanie,Durham,63,69,62,81,64,69,78,63,72,57,75,64
Suzanne,Apex,68,68,67,55,44,65,51,46,56,50,63,54
Thomas,Cary,51,52,59,65,54,83,57,59,58,54,61,52
Thomas,Morrisville,53,43,39,46,36,57,61,40,40,61,56,41
Walter,Raleigh,55,59,59,56,50,55,52,59,57,54,57,60
William,Chapel Hill,37,48,51,42,45,43,60,58,47,39,55,50
Yetta,Durham,71,60,57,72,70,59,62,77,73,58,65,60
