Sales.Associate,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alicia,Hillsborough,87,166,0,17,100,49,63,1,2,43,70,157
Angela,Hillsborough,56,1,23,78,86,70,58,29,148,58,77,134
Anthony,Raleigh,1,4,62,57,56,49,49,10,4,8,29,87
Betty,Apex,63,19,11,20,38,60,12,77,87,17,32,21
Bobby,Raleigh,27,20,21,79,15,16,46,95,11,46,177,71
Carlos,Raleigh,55,36,88,44,33,11,129,103,0,43,48,50
Carlos,Wake Forest,50,54,73,46,152,41,114,50,6,18,16,116
Charles,Durham,7,31,136,88,102,122,68,63,43,91,26,235
Christopher,Wake Forest,118,184,39,14,67,163,224,101,202,264,412,268
Crystal,Durham,223,184,0,145,81,127,220,12,191,126,73,108
Daniel,Apex,5,51,33,13,53,13,1,0,44,47,47,64
Danielle,Apex,108,175,71,8,132,79,20,159,66,54,248,176
David,Apex,87,71,13,71,28,14,16,31,17,74,18,38
Debra,Cary,67,26,74,40,35,103,77,55,118,38,156,106
Denae,Hillsborough,1,14,0,10,9,0,0,30,17,0,53,6
Donald,Cary,49,17,29,10,4,44,69,28,9,20,92,68
Donald,Chapel Hill,211,51,172,22,16,209,122,119,62,3,226,104
Doris,Durham,4,145,33,80,126,142,19,16,54,28,99,1
Elizabeth,Durham,280,37,217,73,295,89,209,72,208,50,131,180
Gerald,Hillsborough,15,14,19,6,11,63,12,17,34,14,84,97
Glenda,Raleigh,40,6,48,33,45,32,48,60,36,56,48,65
Harold,Raleigh,35,21,40,79,127,106,10,64,23,65,162,76
Jasmine,Morrisville,60,217,268,27,173,188,113,395,137,288,346,10
John,Chapel Hill,38,84,36,7,38,55,39,100,62,71,40,126
Karen,Hillsborough,39,14,23,46,61,16,34,29,55,31,51,19
Kayla,Morrisville,4,1,20,0,1,11,0,11,10,0,3,10
Kenneth,Raleigh,59,43,114,115,71,25,200,57,14,69,117,108
Kurt,Durham,84,132,75,20,108,19,145,141,119,87,47,36
Megan,Hillsborough,215,262,300,147,10,44,235,66,124,38,266,178
Melissa,Morrisville,1,0,40,15,3,17,17,25,41,19,35,60
Michael,Raleigh,26,33,95,62,2,37,2,42,14,10,68,93
Mohamed,Durham,98,196,36,28,41,118,81,80,1,118,187,16
Pat,Durham,104,91,92,49,124,78,6,17,140,88,56,61
Rachel,Durham,29,87,27,81,31,31,54,104,44,239,110,30
Richard,Cary,8,91,25,29,39,84,66,124,60,59,87,14
Richard,Raleigh,11,19,36,25,4,46,45,30,7,28,17,50
Rita,Morrisville,70,118,55,126,63,9,40,165,23,22,78,133
Robert,Cary,27,3,29,22,2,4,1,0,45,17,63,12
Robert,Wake Forest,239,91,94,168,75,128,44,31,209,163,56,88
Roberto,Morrisville,6,4,95,168,182,27,151,84,37,43,83,52
Roger,Morrisville,20,10,76,27,8,24,41,6,82,31,10,2
Rosanne,Wake Forest,36,109,30,29,23,45,63,69,40,0,57,52
Roy,Hillsborough,176,76,106,65,148,143,37,101,76,111,59,303
Ruth,Raleigh,71,138,98,76,81,64,79,42,32,54,97,133
Stephanie,Durham,73,217,86,192,111,9,169,121,148,123,316,39
Suzanne,Apex,13,10,94,9,38,30,47,58,3,29,14,57
Thomas,Cary,48,5,10,0,0,21,37,59,21,13,69,8
Thomas,Morrisville,76,196,51,84,147,148,104,58,15,47,53,63
Walter,Raleigh,56,6,54,75,10,18,42,77,70,28,3,59
William,Chapel Hill,42,0,49,10,12,41,33,14,50,20,12,50
Yetta,Durham,14,6,27,7,38,5,21,5,2,7,104,22
